appid,game_name,concurrent_players,collected_at
730,Counter-Strike 2,1311555,2025-12-30 20:04:03.952330
578080,PUBG: Battlegrounds,205251,2025-12-30 20:04:03.952330
1172470,Apex Legends,58765,2025-12-30 20:04:03.952330
570,Dota 2,696217,2025-12-30 20:04:03.952330
1778820,TEKKEN 8,5971,2025-12-30 20:04:03.952330
271590,Grand Theft Auto V,110322,2025-12-30 20:14:06.717339
1811260,EA SPORTS FC™ 26,960,2025-12-30 20:14:06.717339
730,Counter-Strike 2,1301024,2025-12-30 20:14:06.717339
578080,PUBG: Battlegrounds,196113,2025-12-30 20:14:06.717339
1172470,Apex Legends,57079,2025-12-30 20:14:06.717339
570,Dota 2,689293,2025-12-30 20:14:06.717339
1778820,TEKKEN 8,5971,2025-12-30 20:14:06.717339
271590,Grand Theft Auto V,110322,2025-12-30 20:24:09.863919
1811260,EA SPORTS FC™ 26,957,2025-12-30 20:24:09.863919
730,Counter-Strike 2,1301024,2025-12-30 20:24:09.863919
578080,PUBG: Battlegrounds,196113,2025-12-30 20:24:09.863919
1172470,Apex Legends,57079,2025-12-30 20:24:09.863919
570,Dota 2,689293,2025-12-30 20:24:09.863919
1778820,TEKKEN 8,5979,2025-12-30 20:24:09.863919
271590,Grand Theft Auto V,108523,2025-12-30 20:34:12.462062
1811260,EA SPORTS FC™ 26,957,2025-12-30 20:34:12.462062
730,Counter-Strike 2,1287069,2025-12-30 20:34:12.462062
578080,PUBG: Battlegrounds,187284,2025-12-30 20:34:12.462062
1172470,Apex Legends,56100,2025-12-30 20:34:12.462062
570,Dota 2,680471,2025-12-30 20:34:12.462062
1778820,TEKKEN 8,5979,2025-12-30 20:34:12.462062
271590,Grand Theft Auto V,108523,2025-12-30 20:44:15.656857
1811260,EA SPORTS FC™ 26,946,2025-12-30 20:44:15.656857
730,Counter-Strike 2,1287069,2025-12-30 20:44:15.656857
578080,PUBG: Battlegrounds,187284,2025-12-30 20:44:15.656857
1172470,Apex Legends,56100,2025-12-30 20:44:15.656857
570,Dota 2,680471,2025-12-30 20:44:15.656857
1778820,TEKKEN 8,5973,2025-12-30 20:44:15.656857
271590,Grand Theft Auto V,106206,2025-12-30 20:54:19.955742
1811260,EA SPORTS FC™ 26,946,2025-12-30 20:54:19.955742
730,Counter-Strike 2,1268805,2025-12-30 20:54:19.955742
578080,PUBG: Battlegrounds,178195,2025-12-30 20:54:19.955742
1172470,Apex Legends,55095,2025-12-30 20:54:19.955742
570,Dota 2,667799,2025-12-30 20:54:19.955742
